"year","word","value","company"
"2014","safety",1,"tesla"
"2014","loss",-3,"tesla"
"2014","bold",2,"tesla"
"2014","safety",1,"tesla"
"2014","solution",1,"tesla"
"2014","preventing",-1,"tesla"
"2014","agree",1,"tesla"
"2014","winner",4,"tesla"
"2014","benefits",2,"tesla"
"2014","gain",2,"tesla"
"2014","loss",-3,"tesla"
"2015","support",2,"tesla"
"2015","loss",-3,"tesla"
"2015","hopes",2,"tesla"
"2015","stops",-1,"tesla"
"2015","playful",2,"tesla"
"2016","demand",-1,"tesla"
"2016","shares",1,"tesla"
"2016","failures",-2,"tesla"
"2016","safety",1,"tesla"
"2016","losing",-3,"tesla"
"2016","clean",2,"tesla"
"2016","crash",-2,"tesla"
"2016","accident",-2,"tesla"
"2016","accident",-2,"tesla"
"2016","died",-3,"tesla"
"2016","accident",-2,"tesla"
"2016","limits",-1,"tesla"
"2016","fatality",-3,"tesla"
"2016","limits",-1,"tesla"
"2016","safety",1,"tesla"
"2016","crash",-2,"tesla"
"2016","crash",-2,"tesla"
"2016","safety",1,"tesla"
"2016","crash",-2,"tesla"
"2016","crash",-2,"tesla"
"2016","grand",3,"tesla"
"2016","crash",-2,"tesla"
"2016","damage",-3,"tesla"
"2016","clean",2,"tesla"
"2016","distract",-2,"tesla"
"2016","loss",-3,"tesla"
"2016","costly",-2,"tesla"
"2016","prevented",-1,"tesla"
"2016","crash",-2,"tesla"
"2016","dream",1,"tesla"
"2016","death",-2,"tesla"
"2016","vision",1,"tesla"
"2016","trusted",2,"tesla"
"2016","support",2,"tesla"
"2016","charges",-2,"tesla"
"2017","cleared",1,"tesla"
"2017","crash",-2,"tesla"
"2017","hopeful",2,"tesla"
"2017","boost",1,"tesla"
"2017","safety",1,"tesla"
"2017","optimism",2,"tesla"
"2017","loss",-3,"tesla"
"2017","gains",2,"tesla"
"2017","reassures",1,"tesla"
"2017","debt",-2,"tesla"
"2017","boosts",1,"tesla"
"2017","safety",1,"tesla"
"2017","crash",-2,"tesla"
"2017","fair",2,"tesla"
"2017","reassures",1,"tesla"
"2017","justice",2,"tesla"
"2018","death",-2,"tesla"
"2018","lagging",-2,"tesla"
"2018","cheering",2,"tesla"
"2018","pay",-1,"tesla"
"2018","pay",-1,"tesla"
"2018","hopes",2,"tesla"
"2018","costly",-2,"tesla"
"2018","accident",-2,"tesla"
"2018","crash",-2,"tesla"
"2018","troubles",-2,"tesla"
"2018","hell",-4,"tesla"
"2018","hell",-4,"tesla"
"2018","danger",-2,"tesla"
"2018","safety",1,"tesla"
"2018","safety",1,"tesla"
"2018","injured",-2,"tesla"
"2018","amused",3,"tesla"
"2018","worried",-3,"tesla"
"2018","rejects",-1,"tesla"
"2018","boring",-3,"tesla"
"2018","fail",-2,"tesla"
"2018","challenge",-1,"tesla"
"2018","cuts",-1,"tesla"
"2018","risks",-2,"tesla"
"2018","accuses",-2,"tesla"
"2018","sabotage",-2,"tesla"
"2018","audacious",3,"tesla"
"2018","loss",-3,"tesla"
"2018","huge",1,"tesla"
"2018","violate",-2,"tesla"
"2018","war",-2,"tesla"
"2018","damage",-3,"tesla"
"2018","stop",-1,"tesla"
"2018","calm",2,"tesla"
"2018","chaos",-2,"tesla"
"2018","bad",-3,"tesla"
"2018","slashes",-2,"tesla"
"2018","troubles",-2,"tesla"
"2018","hard",-1,"tesla"
"2018","resolved",2,"tesla"
"2018","trust",1,"tesla"
"2018","justice",2,"tesla"
"2018","suing",-2,"tesla"
"2018","shares",1,"tesla"
"2018","troubles",-2,"tesla"
"2018","progress",2,"tesla"
"2018","fight",-1,"tesla"
"2018","secured",2,"tesla"
"2018","hell",-4,"tesla"
"2018","racism",-3,"tesla"
"2018","worry",-3,"tesla"
"2019","cuts",-1,"tesla"
"2019","shares",1,"tesla"
"2019","cut",-1,"tesla"
"2019","strong",2,"tesla"
"2019","top",2,"tesla"
"2019","contempt",-2,"tesla"
"2019","promised",1,"tesla"
"2019","contend",-1,"tesla"
"2019","troubles",-2,"tesla"
"2019","shares",1,"tesla"
"2019","contempt",-2,"tesla"
"2019","demand",-1,"tesla"
"2019","resolve",2,"tesla"
"2019","dispute",-2,"tesla"
"2019","pretty",1,"tesla"
"2019","easy",1,"tesla"
"2019","reach",1,"tesla"
"2019","inspiration",2,"tesla"
"2019","loss",-3,"tesla"
"2019","lag",-1,"tesla"
