"company","latitude","longitude","address","revenue"
"warner_bros_discovery",34.1501299,-118.3747272,"Burbank, California",41321
"tesla",30.2226207,-97.6372702,"Austin, Texas",96773
"toyota_motor",35.1404372,136.9812229,"Toyota, Aichi",45095325
"netflix",34.0976885,-118.3347133,"Los Gatos, California",33723
"meta",37.470542,-122.1687157,"Menlo Park, California",134902
"honda_motor",35.672381,139.7053888,"Minato, Tokyo",20428802
"google",37.4197828,-123.1312509,"Mountain View, California",307394
"fresh_del_monte",37.7968862,-122.3510099,"Lathrop, California",4321
"elevance_health",33.774954,-84.4061868,"Atlanta, Georgia",171340
"walt_disney_cia",34.1562056,-118.343643,"Burbank, California",88898
"cvs",41.9910183,-71.4794475,"Woonsocket, Rhode Island",357776
"united_health_group",45.064081,-93.4258308,"Plymounth, Minnesota",371622
"baidu",40.049806,116.296106,"Haidian District, Beijing",134598
"adecoagro",49.6063196,6.1271596,"Gare, Luxembourg",1299
"archer_daniels_midland",44.4389711,-96.9985641,"Marshall, Minnesota",93935
