"company","year","cash_equivalents","cash_cash_equivalents","cash_growth_percent","receivables","other_current_assets","total_current_assets","property_plant_equipment","long_term_investments","goodwill_and_intangibles","other_long_term_assets","total_long_term_assets","total_assets","accounts_payable","deferred_revenue","current_debt","other_current_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_long_term_liabilities","total_liabilities","total_debt","debt_growth_percent","retained_earnings","comprehensive_income","shareholders_equity","net_cash_debt","net_cash_per_share","working_capital","book_value_per_share","short_term_investments","inventory","net_cash_debt_growth_percent"
"wbd",2023,3780,3780,1.31,6047,4391,14218,5957,0,94483,8099,108539,122757,1260,1924,1780,10368,15332,41889,19064,60953,76285,43669,-10.88,-928,-741,45226,-39889,-16.37,-1114,18.57,NA,NA,NA
"wbd",2022,3731,3731,-4.46,6380,3888,13999,5301,0,106072,8629,120002,134001,1454,1694,365,11504,15017,48634,21683,70317,85334,48999,231.99,2205,-1523,47095,-45268,-23.33,-1018,24.28,NA,NA,NA
"wbd",2021,3905,3905,86.75,2446,913,7264,1336,0,23061,2766,27163,34427,412,478,339,2230,3459,14420,3152,17572,21031,14759,-4.19,9580,-830,11599,-10854,-16.35,3805,19.73,NA,NA,NA
"wbd",2020,2091,2091,34.73,2537,1502,6130,1206,507,24681,1563,27957,34087,397,557,335,1793,3082,15069,3553,18622,21704,15404,-0.1,8543,-651,10464,-13313,-19.81,3048,17.47,NA,NA,NA
"wbd",2019,1552,1552,57.4,2633,1032,5217,951,568,25425,1574,28518,33735,463,489,609,1678,3239,14810,3720,18530,21769,15419,-8.18,7333,-822,9891,-13867,-19.5,1978,18.7,NA,NA,NA
"wbd",2018,986,986,-86.51,2620,625,4231,800,935,26062,522,28319,32550,325,249,1819,1604,3997,14974,3062,18036,22033,16793,13.58,5254,-785,8386,-15807,-22.98,234,16.84,NA,NA,NA
"wbd",2017,7309,7309,2336.33,1838,844,9991,597,335,11466,166,12564,22555,277,255,30,1309,1871,14755,906,15661,17532,14785,86.61,4632,-585,4610,-7476,-12.98,8120,12.01,NA,NA,NA
"wbd",2016,300,300,-23.08,1495,707,2502,482,557,11951,180,13170,15672,241,163,82,1075,1561,7841,860,8701,10262,7923,2.43,5232,-762,5167,-7623,-12.5,941,12.88,NA,NA,NA
"wbd",2015,390,390,6.27,1479,727,2596,488,567,12237,-24,13268,15864,282,190,119,988,1579,7616,977,8593,10172,7735,8.81,4517,-633,5451,-7345,-11.2,1017,12.62,NA,NA,NA
"wbd",2014,367,367,-10.05,1433,691,2491,554,644,12509,-228,13479,15970,225,178,1107,1094,2604,6002,1013,7015,9619,7109,9.39,3809,-368,5602,-6742,-9.81,-113,12.34,NA,NA,NA
"tsla",2023,16398,29094,31.14,3508,3388,49616,45123,184,431,11264,57002,106618,14431,6115,2373,5829,28748,2857,11404,14261,43009,5230,68.76,27882,-143,62634,23864,7.52,20868,19.73,12696,13626,NA
"tsla",2022,16253,22185,25.29,2952,2941,40917,36635,184,409,4193,41421,82338,15255,4551,1502,5401,26709,1597,8134,9731,36440,3099,-54.65,12885,-361,44704,19086,6.1,14208,14.28,5932,12839,NA
"tsla",2021,17576,17707,-8.65,1913,1723,27100,31176,1260,457,2138,35031,62131,10025,3499,1589,4592,19705,5245,5598,10843,30548,6834,-41.78,329,54,30189,10873,3.67,7395,10.2,131,5757,NA
"tsla",2020,19384,19384,209.25,1886,1346,26717,23375,0,520,1536,25431,52148,6051,2742,2132,3323,14248,9607,4563,14170,28418,11739,-12.52,-5399,363,22225,7645,2.73,12469,7.94,0,4101,NA
"tsla",2019,6268,6268,61.59,1324,959,12103,20199,0,537,1470,22206,34309,3771,2370,1785,2741,10667,11634,3898,15532,26199,13419,12.09,-6083,-36,6618,-7151,-2.69,1436,2.49,0,3552,NA
"tsla",2018,3879,3879,10.1,949,366,8307,19691,820,350,572,21433,29740,3405,1621,2568,2399,9993,9404,4030,13434,23427,11972,16.06,-5318,-8,4923,-8093,-3.16,-1686,1.92,0,3113,NA
"tsla",2017,3523,3523,0.7,515.38,268.37,6571,20492,898.37,421.74,273.12,22085,28655,2390,2193,896.55,2195,7675,9418,5930,15348,23023,10315,44.7,-4974.3,33.35,4237,-6791.7,-2.73,-1104.15,1.7,0,2264,NA
"tsla",2016,3499,3499,186.89,499.14,194.47,6260,15037,774.47,376.15,216.75,16404,22664,1860,1615,1150,1202,5827,5978,4945,10923,16750,7128,164.38,-2997.24,-23.74,4753,-3629.7,-1.68,432.79,2.2,0,2067,NA
"tsla",2015,1220,1220,-36.98,168.97,115.67,2782,5195,31.52,12.82,46.86,5286,8068,916.15,870.07,627.93,396.89,2811,2068,2058,4126,6937,2696,8.37,-2322.32,-3.56,1084,-1476.77,-0.77,-29.03,0.56,0,1278,NA
