"year","warner_bros_discovery","tesla","toyota_motor","netflix","meta","honda_motor","google","fresh_del_monte","elevance_health","walt_disney_cia","cvs","united_health_group","baidu","adecoagro","archer_daniels_midland"
2014,1.66025574384032,1.1995474182267,1.58663104507168,1.35834136933462,10.3271317829457,1.66855114581017,5.10076203261342,3.01442416046879,1.64798931195725,2.33965464505186,2.04800684628975,1.64411876665398,2.19939644077575,1.89426197435956,1.80559773464111
2015,1.55957530475816,1.16303877756955,1.61651496684783,1.27873167063542,9.52148776257468,1.62797805154112,5.43534832288979,3.07146237576905,1.59585251073072,2.23093075619197,1.67355252199732,1.46786642565936,2.32334454256891,1.63651295925022,1.80545814225339
2016,1.52718768271292,1.35307462686567,1.6206179447498,1.24571376180435,11.2642621813768,1.66467295903928,5.88514107023646,3.17003226191899,1.62776680089038,2.05844330127488,1.6391684597765,1.48642596918459,2.16009922377573,1.90794424109477,1.76062511067824
2017,1.28650467716176,1.24462494027711,1.65562965102581,1.23213012766509,8.30539451704825,1.74080466796922,4.40459446788561,2.83591267807728,1.60183482071894,1.88616717534705,1.65629570304339,1.59770669607978,2.07429381324368,1.70985479227083,1.8466337045423
2018,1.47732946035492,1.26947539164212,1.63047791754849,1.25260416666667,7.3698796092981,1.72264828151274,4.21999854977884,2.19044414535666,1.66328143155938,2.15439409168378,1.424492252362,1.58573452507448,2.44278982711347,1.94781864841745,1.86989971149883
2019,1.54968073866507,1.30955379976335,1.65390195447596,1.28726225657346,4.1264773219479,1.68055213108485,3.70511770314367,2.1598968407479,1.69388737014762,1.93799890104401,1.40542333474434,1.55637401881372,2.34485334744477,1.68967828418231,1.77607782980785
2020,1.57053999262809,1.8350341332958,1.63952315410822,1.39216728690413,5.13491910010959,1.74694742851778,3.29256634250865,2.23034859876965,1.62151789725925,1.77911657221545,1.43288782341908,1.55652071005917,2.3618925921982,1.63396971691903,1.67420951611274
2021,1.63696448100423,2.033881105146,1.66992778473532,1.55159213502697,4.03782718692225,1.8160644430972,3.33789822823855,2.22819672131148,1.58905628383226,1.84098265791425,1.47825121496276,1.56347668481584,2.43483553516741,1.68208469055375,1.66932318306173
2022,1.57031195068789,2.25954994511526,1.64975320148884,1.74695330193766,3.09472789682407,1.87351812485267,3.34736070381232,2.33086253369272,1.5469326307866,1.94393424469223,1.45857027845578,1.54184289461464,2.55257625613705,1.59845758354756,1.68581662295174
2023,1.60918922461821,2.47896951800786,1.64217521587898,1.73152359295054,3.00337453403963,1.77562359116422,3.38107601690572,2.5051140833989,1.56679084619478,2.02297730806321,1.44274720957641,1.56589493195119,2.82175635271347,1.66666666666667,1.79200288657089
