"Main_Headline","Date"
"A Turkey Snack at Disney?","2014-01-01T23:46:12+0000"
"Disney’s Troubled Gaming Unit Finds Success With Infinity","2014-01-17T17:36:42+0000"
"Disney Reports Strong First-Quarter Earnings, Helped by Animated Film ‘Frozen’ ","2014-02-05T22:28:32+0000"
"Disney Plans to Encourage Digital Start-Ups","2014-02-12T18:06:46+0000"
"Attendance Up, Disney to Add Hotel Rooms at Hong Kong Park","2014-02-17T18:25:08+0000"
"How Tina Fey and Amy Poehler Inspired a Disney Princess","2014-02-19T18:00:17+0000"
"Disney’s ‘Frozen’ Kingdom","2014-02-19T23:59:48+0000"
"Disney Throws Open the Gates to Its Own Digital Movie Service","2014-02-25T13:01:32+0000"
"Waiting for Disney’s First Gay Teenager","2014-02-27T18:08:42+0000"
"Deal Between Dish and Disney Seen as a Win for Both","2014-03-04T20:53:58+0000"
"At Disney, a Celebration That Was a Long Time Coming","2014-03-04T22:23:58+0000"
"Interactive Unit at Disney Cuts a Quarter of Its Staff","2014-03-06T17:32:54+0000"
"Reaching My Autistic Son Through Disney","2014-03-07T16:11:45+0000"
"Top Disney TV Official to Step Down","2014-03-11T21:26:49+0000"
"Talking With Readers About Owen, Disney and Autism","2014-03-11T22:25:53+0000"
"ABC News President to Be Top Disney TV Executive","2014-03-24T17:44:43+0000"
"Disney Buys Maker Studios, Video Supplier for YouTube","2014-03-25T01:16:44+0000"
"A TV App From Disney Lets Travelers Browse Its Vacation Offerings","2014-03-27T00:18:17+0000"
"A Billion-Dollar Bracelet Is the Key to a Disney Park","2014-04-02T00:31:44+0000"
"Disney Soundtrack Freezes Out Shakira","2014-04-02T19:12:03+0000"
"A Makeover at Universal Studios Hollywood Aims at Disney","2014-04-08T13:30:05+0000"
"Bid to Upend Disney’s Deal for Maker Studios Falls Short","2014-04-14T22:43:14+0000"
"Owners to Invest $800 Million More in Shanghai Disneyland","2014-04-28T22:48:42+0000"
"Disney Considered Buying BuzzFeed, but Balked at $1 Billion Price","2014-04-29T04:15:02+0000"
"Disney Keeps Focus on ‘Star Wars’ With a New Line of Apps","2014-05-01T16:42:59+0000"
"‘Frozen’ Helps Lift Profit for an Energized Disney","2014-05-06T21:21:46+0000"
"‘Frozen’ Will Be a Disney on Ice Show, Too, Riding a Blockbuster’s Wave","2014-05-20T04:01:13+0000"
"A Family’s Hard Journey, With Disney as a Guide","2014-05-21T20:18:23+0000"
"Disney Executive Gains Supporters ","2014-05-24T22:44:44+0000"
"At Disney Concert Hall, Hadid Picks Up on Gehry’s Tune","2014-05-30T15:55:33+0000"
"Disney Hopes New (and Nostalgic) Formula Will Draw Tweens","2014-06-25T22:39:46+0000"
"A Four Seasons at Walt Disney World Resort","2014-07-05T14:00:49+0000"
"Dick Jones, Who Gave Voice to Disney’s Pinocchio, Dies at 87","2014-07-10T04:07:54+0000"
"Throwback Thursday | Disneyland Opens in 1955","2014-07-17T20:23:59+0000"
"Comic-Con 2014: Disney’s ‘Phineas and Ferb’ to Broadcast Tribute to ABC’s ‘Lost’","2014-07-26T21:26:51+0000"
"Disney’s Third-Quarter Profits Soar, on Marvel’s Back","2014-08-05T20:47:49+0000"
"Sensing a Tsum Tsum Craze Afoot, Disney Rushes to Supply Fans","2014-08-10T20:02:07+0000"
"Disney Unveils New ‘Star Wars’ Game for Mobile Devices","2014-08-21T13:00:04+0000"
"Disney Details a New, Boy-Centric Animated Movie","2014-09-03T19:02:32+0000"
"Disney Infinity Game Studio Hires a Top Player to Create Toy Box Levels","2014-09-15T02:38:53+0000"
