"year","month","line_id","word","value"
"2014","01",2,"troubled",-2
"2014","01",2,"success",2
"2014","02",3,"strong",2
"2014","02",4,"encourage",2
"2014","02",6,"inspired",2
"2014","03",10,"win",4
"2014","03",12,"cuts",-1
"2014","03",13,"reaching",1
"2014","03",14,"top",2
"2014","03",16,"top",2
"2014","05",26,"helps",2
"2014","05",28,"hard",-1
"2014","05",29,"gains",2
"2014","05",29,"supporters",1
"2014","06",31,"hopes",2
"2014","07",33,"dick",-4
"2014","07",35,"lost",-3
"2014","09",40,"top",2
"2014","10",41,"success",2
"2014","10",43,"forgotten",-1
"2014","10",46,"hopes",2
"2014","10",47,"tops",2
"2014","11",49,"strong",2
"2014","11",50,"success",2
"2014","11",54,"promote",1
"2014","12",56,"focused",2
"2015","03",70,"perfect",3
"2015","04",72,"criticism",-2
"2015","05",74,"gains",2
"2015","05",75,"anti",-1
"2015","06",79,"top",2
"2015","06",86,"cancels",-1
"2015","08",96,"increase",1
"2015","08",96,"disappoints",-2
"2015","08",97,"shares",1
"2015","08",97,"worry",-3
"2015","08",99,"gains",2
"2015","09",102,"love",3
"2015","09",104,"visionary",3
"2015","09",104,"crazy",-2
"2015","09",105,"crying",-2
"2015","10",115,"gun",-1
"2015","11",117,"gains",2
"2015","11",118,"attracts",1
"2015","12",119,"support",2
"2015","12",121,"looms",-1
"2015","12",121,"cutting",-1
"2015","12",122,"struggles",-2
"2016","01",126,"lawsuits",-2
"2016","01",128,"arrested",-3
"2016","01",129,"terror",-3
"2016","01",129,"gun",-1
"2016","01",129,"arrest",-2
"2016","02",131,"accident",-2
"2016","02",132,"resigns",-1
"2016","02",133,"demand",-1
"2016","04",139,"success",2
"2016","04",140,"favorite",2
"2016","05",144,"war",-2
"2016","05",144,"tops",2
"2016","05",146,"care",2
"2016","06",151,"won",3
"2016","06",156,"gloomy",-2
"2016","07",159,"bad",-3
"2016","08",165,"helps",2
"2016","08",166,"medal",3
"2016","08",167,"broke",-1
"2016","09",168,"cuts",-1
"2016","10",175,"violate",-2
"2017","02",182,"anti",-1
"2017","03",184,"endorsement",2
"2017","03",186,"censors",-2
"2017","03",187,"agrees",1
