"year","month","line_id","word","value"
"2014","01",2,"fit",1
"2014","01",3,"fit",1
"2014","04",6,"fit",1
"2014","04",7,"fit",1
"2014","05",8,"defect",-3
"2014","06",10,"fit",1
"2014","07",12,"expands",1
"2014","08",14,"fit",1
"2014","08",14,"chance",2
"2014","08",14,"crash",-2
"2014","11",19,"failure",-2
"2014","11",21,"death",-2
"2014","11",24,"failed",-2
"2014","11",24,"defects",-3
"2014","12",25,"expand",1
"2014","12",27,"dreams",1
"2014","12",29,"fit",1
"2014","12",30,"fit",1
"2015","01",31,"safety",1
"2015","01",32,"error",-2
"2015","01",33,"fine",2
"2015","01",35,"cuts",-1
"2015","03",38,"delayed",-1
"2015","03",40,"expands",1
"2015","06",44,"death",-2
"2015","06",45,"death",-2
"2015","10",49,"questioned",-1
"2015","11",51,"huge",1
"2015","11",51,"fine",2
"2016","02",56,"expands",1
"2016","02",56,"crisis",-3
"2016","02",57,"relieved",2
"2016","02",57,"wins",4
"2016","05",59,"expands",1
"2016","06",60,"warns",-2
"2017","01",64,"true",2
"2017","02",67,"win",4
"2017","07",68,"blamed",-2
"2017","07",68,"death",-2
"2018","02",70,"gains",2
"2019","02",72,"leave",-1
"2019","02",72,"looms",-1
"2020","03",74,"win",4
"2020","06",75,"favored",2
"2023","12",78,"accuses",-2
