"company","variable","value"
"Adecoagro","Revenue",9468.84
"Adecoagro","Gross Profit",2063.39
"Adecoagro","Operating Income",662.04
"Adecoagro","EBIT",2154.02
"Archer Daniels Midland","Revenue",746169
"Archer Daniels Midland","Gross Profit",49721
"Archer Daniels Midland","Operating Income",23032
"Archer Daniels Midland","EBIT",30830
"Baidu","Revenue",970322
"Baidu","Gross Profit",482607
"Baidu","Operating Income",134678
"Baidu","EBIT",222750
"CVS","Revenue",2347404
"CVS","Gross Profit",396422
"CVS","Operating Income",103103
"CVS","EBIT",100454
"Disney","Revenue",645514
"Disney","Gross Profit",253031
"Disney","Operating Income",90696
"Disney","EBIT",97612
"Elevance Health","Revenue",1112693
"Elevance Health","Gross Profit",218214
"Elevance Health","Operating Income",66221
"Elevance Health","EBIT",65817
"Fresh del Monte","Revenue",42283
"Fresh del Monte","Gross Profit",3338
"Fresh del Monte","Operating Income",1216.4
"Fresh del Monte","EBIT",1116.3
"Google","Revenue",1671187
"Google","Gross Profit",949960
"Google","Operating Income",426578
"Google","EBIT",460966
"Honda","Revenue",153168964
"Honda","Gross Profit",32606340
"Honda","Operating Income",7902441
"Honda","EBIT",9466570
"Meta","Revenue",680625
"Meta","Gross Profit",553688
"Meta","Operating Income",247867
"Meta","EBIT",251100
"Netflix","Revenue",188792
"Netflix","Gross Profit",72256
"Netflix","Operating Income",29502.95
"Netflix","EBIT",29591.34
"Tesla","Revenue",335636
"Tesla","Gross Profit",72487.17
"Tesla","Operating Income",27404.34
"Tesla","EBIT",29210.07
"Toyota","Revenue",313550294
"Toyota","Gross Profit",58854185
"Toyota","Operating Income",28136951
"Toyota","EBIT",34814690
"United Health Group","Revenue",2382504
"United Health Group","Gross Profit",579109
"United Health Group","Operating Income",193631
"United Health Group","EBIT",190364
"Warner Bros","Revenue",145726
"Warner Bros","Gross Profit",74969
"Warner Bros","Operating Income",7195
"Warner Bros","EBIT",5926
