"year","wbd_net_cash_flow","tsla_net_cash_flow","tm_net_cash_flow","nflx_net_cash_flow","meta_net_cash_flow","hmc_net_cash_flow","googl_net_cash_flow","fdp_net_cash_flow","elv_net_cash_flow","dis_net_cash_flow","cvs_net_cash_flow","ci_net_cash_flow","bidu_net_cash_flow","agro_net_cash_flow","adm_net_cash_flow"
2013,NA,NA,322873,NA,NA,-77028,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,-41,1060,243387,508.64,992,278146,-551,-8.4,564.8,-510,-1608,-1375,4161,-107.03,-2041
2015,23,-708.81,654871,695.72,592,285726,-1798,-9.2,-38.2,1037,-22,548,-3893,112.55,-965
2016,-90,2533,209898,-341.75,3943,348520,-3631,-4.8,1962,35,912,1217,1160,-48.3,-235
2017,7009,198,70313,1355,-905,150512,-2203,5,-466,-696,-1620,-213,120,118.96,297
2018,-6323,312,486876,989.25,1920,237633,5986,-3.8,325,91,2395,883,18491,22.55,1985
2019,566,2506,495645,1232,9155,178232,1797,12,1003,1300,1855,1556,4612,34.61,-853
2020,570,13118,1002406,3195,-1325,85667,7967,-16.8,804,12499,2635,4834,2101,81.29,1656
2021,1783,-1757,1012798,-2183.76,-1089,916911,-5520,-0.4,-861,-1951,1648,-4697,11131,-129.69,2808
2022,25,-1220,1403311,-884.53,-1269,128083,934,1.1,2507,-4342,614,428,17565,47.19,-421
2023,389,265,NA,1948,27231,NA,2169,16.6,-861,2574,-4780,2361,-27662,114.61,-1643
