"year","warner_bros_discovery","tesla","toyota_motor","netflix","meta","honda_motor","google","fresh_del_monte","elevance_health","walt_disney_cia","cvs","united_health_group","baidu","adecoagro","archer_daniels_midland"
2014,6265,3198,27234521,5505,12466,13328099,66001,3928,73874,48813,139367,130474,49052,722.97,81201
2015,6394,4046,28403118,6780,17928,14601151,74989,4057,79157,52465,153290,157107,66382,674.31,67702
2016,6497,7000,27597193,8831,27638,13999200,90272,4012,84863,55632,177546,184840,70549,869.24,62346
2017,6873,11759,29379510,11693,40653,15361146,110855,4086,90040,55137,184786,201159,84809,933.18,60828
2018,10553,21461,30225681,15794,55838,15888617,136819,4494,92105,59434,194579,226247,102277,793.24,64341
2019,11144,24578,29866547,20156,70697,14931009,161857,4489,104213,69607,256776,242155,107413,887.14,64656
2020,10671,31536,27214594,24996,85965,13170519,182527,4202,121867,65388,268706,257141,107074,817.76,64355
2021,12191,53823,31379507,29698,117929,14552696,257637,4252,138639,67418,292111,287597,124493,1124,85249
2022,33817,81462,37154298,31616,116609,16907725,282836,4442,156595,82722,322467,324162,123675,1348,101556
2023,41321,96773,45095325,33723,134902,20428802,307394,4321,171340,88898,357776,371622,134598,1299,93935
