"company","year","revenue","revenue_growth_yo_y_percent","cost_of_revenue","gross_profit","selling_general_admin","other_operating_expenses","operating_expenses","operating_income","interest_expense_income","other_expense_income","pretax_income","income_tax","net_income","shares_outstanding_basic","shares_outstanding_diluted","shares_change_percent","eps_basic","eps_diluted","free_cash_flow","free_cash_flow_per_share","gross_margin_percent","operating_margin_percent","profit_margin_percent","free_cash_flow_margin_percent","ebitda","ebitda_margin_percent","depreciation_amortization","ebit","ebit_margin_percent","research_development","net_income_growth_percent","eps_growth_percent","effective_tax_rate_percent","preferred_dividends","net_income_common","dividend_per_share","dividend_growth_percent"
"wbd",2023,41321,22.19,24526,16795,9696,8647,18343,-1548,2221,141,-3910,-784,-3126,2436,2436,25.57,-1.28,-1.28,6161,2.53,40.65,-3.75,-7.57,14.91,6296,15.24,7985,-1689,-4.09,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2022,33817,177.39,20442,13375,9678,11067,20745,-7370,1777,-113,-9034,-1663,-7371,1940,1940,192.17,-3.82,-3.82,3317,1.71,39.55,-21.79,-21.8,9.81,-64,-0.19,7193,-7257,-21.46,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2021,12191,14.24,4620,7571,4016,1543,5559,2012,633,137,1242,236,1006,588,664,-1.19,1.55,1.54,2425,4.12,62.1,16.5,8.25,19.89,3457,28.36,1582,1875,15.38,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2020,10671,-4.24,3860,6811,2722,1574,4296,2515,648,275,1592,373,1219,599,672,-5.49,1.82,1.81,2337,3.9,63.83,23.57,11.42,21.9,3599,33.73,1359,2240,20.99,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2019,11144,5.6,3819,7325,2788,1528,4316,3009,677,182,2150,81,2069,529,711,3.34,2.9,2.88,3110,5.88,65.73,27,18.57,27.91,4174,37.46,1347,2827,25.37,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2018,10553,53.54,3935,6618,2620,2148,4768,1850,729,186,935,341,594,498,688,19.44,0.86,0.86,2429,4.88,62.71,17.53,5.63,23.02,3062,29.02,1398,1664,15.77,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2017,6873,5.79,2656,4217,1768,1732,3500,717,475,403,-161,176,-337,384,576,-5.57,-0.59,-0.59,1494,3.89,61.36,10.43,-4.9,21.74,644,9.37,330,314,4.57,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2016,6497,1.61,2432,4065,1690,380,2070,1995,353,-5,1647,453,1194,401,610,-7.01,1.97,1.96,1292,3.22,62.57,30.71,18.38,19.89,2322,35.74,322,2000,30.78,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2015,6394,2.06,2343,4051,1669,397,2066,1985,330,110,1545,511,1034,432,656,-4.51,1.59,1.58,1191,2.76,63.36,31.04,16.17,18.63,2205,34.49,330,1875,29.32,NA,NA,NA,NA,NA,NA,NA,NA
"wbd",2014,6265,13.19,2124,4141,1692,419,2111,2030,328,-47,1749,610,1139,454,687,-4.85,1.67,1.66,1198,2.64,66.1,32.4,18.18,19.12,2406,38.4,329,2077,33.15,NA,NA,NA,NA,NA,NA,NA,NA
"tsla",2023,96773,18.8,79113,17660,4800,0,8769,8891,156,-1261,9996,-5001,14997,3174,3174,1.41,4.73,4.3,4357,1.37,18.25,9.19,15.5,4.5,14819,15.31,4667,10152,10.49,3969,NA,NA,NA,NA,NA,NA,NA
"tsla",2022,81462,51.35,60609,20853,3946,176,7197,13656,191,-223,13688,1132,12556,3130,3130,5.78,4.02,3.62,7561,2.42,25.6,16.76,15.41,9.28,17626,21.64,3747,13879,17.04,3075,NA,NA,NA,NA,NA,NA,NA
"tsla",2021,53823,70.67,40217,13606,4517,-27,7083,6523,371,-66,6218,699,5519,2959,2959,5.75,1.87,1.63,4983,1.68,25.28,12.12,10.25,9.26,9500,17.65,2911,6589,12.24,2593,NA,NA,NA,NA,NA,NA,NA
"tsla",2020,31536,28.31,24906,6630,3145,0,4636,1994,748,233,1013,292,721,2798,2798,5.15,0.25,0.21,2711,0.97,21.02,6.32,2.29,8.6,4083,12.95,2322,1761,5.58,1491,NA,NA,NA,NA,NA,NA,NA
"tsla",2019,24578,14.52,20509,4069,2646,149,4138,-69,685,-2,-752,110,-862,2661,2661,3.99,-0.33,-0.33,973,0.37,16.56,-0.28,-3.51,3.96,2087,8.49,2154,-67,-0.27,1343,NA,NA,NA,NA,NA,NA,NA
"tsla",2018,21461,82.51,17419,4042,2835,135,4430,-388,663,-133,-918,58,-976,2559,2559,2.77,-0.38,-0.38,-221,-0.09,18.83,-1.81,-4.55,-1.03,1646,7.67,1901,-255,-1.19,1460,NA,NA,NA,NA,NA,NA,NA
"tsla",2017,11759,67.98,9536,2223,2477,0,3855,-1632,471,-173,-1930,32,-1962,2490,2490,15.11,-0.79,-0.79,-4142,-1.66,18.9,-13.88,-16.69,-35.22,177,1.51,1636,-1459,-12.41,1378,NA,NA,NA,NA,NA,NA,NA
"tsla",2016,7000,73.01,5401,1599,1432,0,2267,-667.34,198.81,-217.93,-648.22,26.7,-674.91,2163,2163,12.49,-0.31,-0.31,-1564.3,-0.72,22.85,-9.53,-9.64,-22.35,497.69,7.11,947.1,-449.41,-6.42,834.41,NA,NA,NA,NA,NA,NA,NA
"tsla",2015,4046,26.5,3123,923.5,922.23,0,1640,-716.63,118.85,40.14,-875.62,13.04,-888.66,1923,1923,2.94,-0.46,-0.46,-2159.35,-1.12,22.82,-17.71,-21.96,-53.37,-334.18,-8.26,422.59,-756.77,-18.7,717.9,NA,NA,NA,NA,NA,NA,NA
"tsla",2014,3198,58.85,2317,881.67,603.66,0,1068,-186.69,100.89,-2.94,-284.64,9.4,-294.04,1868,1868,4.29,-0.16,-0.16,-1027.22,-0.55,27.57,-5.84,-9.19,-32.12,48.18,1.51,231.93,-183.75,-5.75,464.7,NA,NA,NA,NA,NA,NA,NA
"tm",2023,45095325,21.37,35727007,9368318,4015383,NA,4015383,5352935,103709,-1589372,6838598,1893665,4944933,13486,NA,-0.96,3659.4,3659.4,1655885,1227.87,20.77,11.87,10.97,3.67,9029373,20.02,2087066,6942307,15.39,NA,101.73,103.9,27.69,NA,NA,NA,NA
"tm",2022,37154298,18.4,30841282,6313016,3587990,NA,3587990,2725026,125113,-1027170,3627083,1175765,2451318,13616,NA,-1.47,1794.7,1794.7,1313121,964.4,16.99,7.33,6.6,3.53,5792100,15.59,2039904,3752196,10.1,NA,-13.99,-12.55,32.42,NA,NA,NA,NA
"tm",2021,31379507,15.3,25407834,5971673,2975977,NA,2975977,2995696,43997,-1014329,3966028,1115918,2850110,13819,NA,-1.15,2052.3,2052.3,1818337,1315.85,19.03,9.55,9.08,5.79,5831905,18.59,1821880,4010025,12.78,NA,26.94,29.13,28.14,NA,NA,NA,NA
"tm",2020,27214594,-8.88,22382220,4832374,2634625,NA,2634625,2197749,47537,-745025,2895237,649976,2245261,13980,NA,-2.9,1606.5,1589.3,649905,464.89,17.76,8.08,8.25,2.39,4587064,16.86,1644290,2942774,10.81,NA,10.27,10.35,22.45,NA,NA,NA,NA
"tm",2019,29866547,-1.19,24485351,5381196,2981965,NA,2981965,2399231,47155,-365881,2717957,681817,2036140,14398,NA,-2.62,1454.9,1440.2,396054,275.08,18.02,8.03,6.82,1.33,4360459,14.6,1595347,2765112,9.26,NA,8.14,11.62,25.09,NA,NA,NA,NA
