"Main_Headline","Date"
"Toyota Presents a Curvaceous Extrovert","2014-01-13T17:51:43+0000"
"Wheelies: The Muppet Toyota Edition","2014-01-24T20:11:21+0000"
"Some Toyota Model Sales Halted Over Seat Problem","2014-01-31T00:36:25+0000"
"Toyota Is Reported With Most Recalls in 2013","2014-02-04T03:52:35+0000"
"In Rapid Turnaround, Toyota Is on Track to Post Record Earnings","2014-02-04T09:55:03+0000"
"Toyota in Talks on Final Settlements Over Car Recalls","2014-02-10T04:59:51+0000"
"Toyota Recalls Newest Priuses Over Software","2014-02-12T06:39:20+0000"
"Toyota Recalls 261,000 Trucks and S.U.V.’s for Traction Control Malfunction","2014-02-14T19:03:08+0000"
"Toyota Unit Shuts 2 Factories in India","2014-03-17T09:12:06+0000"
"Toyota Expected to Settle Justice Dept. Investigation","2014-03-19T04:21:27+0000"
"Toyota Is Fined $1.2 Billion for Concealing Safety Defects","2014-03-19T13:40:11+0000"
"Holder Discusses Toyota’s Settlement","2014-03-19T19:46:13+0000"
"Toyota Settlement Blazes Path for G.M.","2014-03-19T20:47:59+0000"
"Review: 2014 Toyota Highlander Limited","2014-03-28T20:48:24+0000"
"Toyota Recalls Avalon Sedans for Air Bag Problem","2014-03-28T21:17:46+0000"
"Review: 2014 Toyota Highlander Limited","2014-03-30T15:11:39+0000"
"3 Toyota Plants in Ontario Set to Vote in a Union Drive, as the Company Resists","2014-04-01T00:52:37+0000"
"Toyota to Recall 6.4 Million Vehicles","2014-04-09T06:17:57+0000"
"The Toyota Camry Signs Up for a Refresher Course","2014-04-16T17:02:07+0000"
"Toyota Will Shift 4,000 to New Offices in Texas","2014-04-29T00:07:10+0000"
"Wheelies: The Toyota Trouble Edition","2014-05-22T20:20:24+0000"
"Toyota Orders Big Recall Tied to an Air Bag Part ","2014-06-11T15:16:07+0000"
"Wheelies: The Hydrogen Toyota Edition","2014-06-25T17:26:21+0000"
"Toyota Recalls 130,000 Tundra Pickups for Air Bag Defect","2014-09-11T17:35:58+0000"
"Toyota Recalls 790,000 Tacoma Pickups","2014-09-29T21:10:03+0000"
"Ford, Nissan and Toyota Issue Recalls","2014-11-04T20:12:20+0000"
"Toyota’s Quarterly Profit Jumps","2014-11-05T07:14:55+0000"
"Toyota Recalls 30,000 Minivans for Airbag Problem","2014-11-26T22:25:21+0000"
"Toyota Widens Recall of Cars With Takata Airbags","2014-11-27T07:38:52+0000"
"Driven | 2015 Toyota Camry","2014-12-02T20:44:55+0000"
"Video: A New Look for 2015 Toyota Camry, but the Security Blanket Is Intact","2014-12-02T20:51:44+0000"
"As Truck Sales Surge in U.S., Toyota and Nissan Unveil Upgrades","2015-01-13T02:02:56+0000"
"Driven | 2015 Toyota Yaris","2015-01-19T12:00:14+0000"
"Video Review: The 2015 Yaris Is Toyota’s Bare-Bones Budget Car","2015-01-19T12:00:22+0000"
"Toyota Profit Gets Lift From U.S. Market and Favorable Exchange Rates","2015-02-04T11:13:05+0000"
"More Foreigners Move to Top Ranks at Toyota","2015-03-04T10:36:28+0000"
"Toyota and Nissan Recall 6.5 Million More Vehicles Over Takata Airbags","2015-05-13T10:43:20+0000"
"Toyota Defends Diversity Hiring After American Is Arrested","2015-06-19T13:57:04+0000"
"Jailed American Executive Resigns From Toyota","2015-07-01T10:34:09+0000"
"Video Review: Toyota Tacoma Adds Machismo, but Retains Its Reliability","2015-08-26T19:32:04+0000"
"Driven | 2016 Toyota Tacoma TRD Off Road","2015-08-26T19:33:13+0000"
"Toyota to Finance $50 Million ‘Intelligent’ Car Project","2015-09-04T17:01:03+0000"
"Toyota Fashions a Bolder Image for the Practical Prius","2015-09-10T00:42:58+0000"
"Video Review: Toyota Highlander Hybrid Offers Room and Fuel Economy","2015-10-07T18:44:06+0000"
"Driven | 2015 Toyota Highlander Hybrid","2015-10-07T18:44:17+0000"
"Toyota to Recall 6.5 Million Vehicles to Fix Window Switches","2015-10-21T15:55:53+0000"
"Toyota Invests $1 Billion in Artificial Intelligence in U.S.","2015-11-06T05:06:58+0000"
"Toyota and Nissan to Drop Takata as Supplier of Airbag Inflaters","2015-11-06T12:20:18+0000"
"Toyota Expands Airbag Recall in Japan","2015-11-25T18:22:21+0000"
"Toyota Asks for Ideas About How to Use an Ultrasmall Vehicle","2015-12-03T22:14:14+0000"
"Toyota Recalls Nearly 3 Million RAV4s Over Seatbelt Separation","2016-02-18T07:14:37+0000"
"Toyota Adds 331,000 Vehicles to Takata Airbag Recall","2016-03-03T00:37:11+0000"
"Toyota Expands Takata Airbag Recall in U.S.","2016-05-24T07:45:15+0000"
"Toyota Names Vehicles That Still Have Faulty Airbags","2016-06-10T23:33:05+0000"
"An Untimely Stall by Toyota Gives Porsche the 24 Hours of Le Mans Title","2016-06-20T04:01:20+0000"
"Toyota Recalls 1.4 Million Vehicles as 2nd Major Airbag Maker Is Under Scrutiny","2016-06-29T07:39:41+0000"
"Video Review: Decent Handling in a Toyota Prius? Yes, the New One","2016-08-04T14:16:00+0000"
"Toyota and Suzuki Say They Are Considering an Alliance","2016-10-12T08:40:19+0000"
"Video Review: Nissan’s Rogue Joins the Toyota RAV4’s Hybrid S.U.V. Club","2016-12-15T14:53:12+0000"
"Trump’s Twitter Warning to Toyota Unsettles Japanese Carmakers","2017-01-06T11:21:38+0000"
"Driven | 2017 Toyota Corolla","2017-03-16T16:09:47+0000"
"Toyota to Invest $1.3 Billion in Kentucky Plant","2017-04-10T11:00:27+0000"
"Movers: Boeing, Volkswagen and Toyota","2017-05-10T12:30:04+0000"
"2017 Toyota Prius Prime","2017-06-22T16:27:50+0000"
"Video Review: Doing the Math on Toyota’s Prius Prime Hybrid","2017-06-22T16:28:05+0000"
"Toyota to Take 5 Percent Stake in Mazda and Build Joint U.S. Plant","2017-08-04T10:04:02+0000"
"Toyota Demands ‘Clarity’ Over Brexit","2017-10-25T12:48:57+0000"
"Tatsuro Toyoda, Who Led Toyota’s Global Expansion, Dies at 88","2018-01-07T21:48:25+0000"
"Toyota and Mazda Are Said to Pick Alabama for $1.6 Billion Plant","2018-01-10T04:49:40+0000"
"Toyota and Mazda Choose Alabama for $1.6 Billion Car Plant","2018-01-10T21:03:30+0000"
"Toyota Takes Self-Driving Cars Off Road After Uber Accident","2018-03-20T23:44:16+0000"
"In a Shift in Driverless Strategy, Uber Deepens Its Partnership With Toyota","2018-08-27T21:14:21+0000"
"There’s More Driving Toyota City Than Just Cars","2019-09-12T20:37:28+0000"
"Toyota’s Support of Trump Emissions Rules Shocks Californians","2019-10-30T00:20:40+0000"
"Toyota to Pay a Record Fine for a Decade of Clean Air Act Violations","2021-01-14T20:51:22+0000"
"Toyota sales jump, but G.M. and Ford’s rebounds are weaker.","2021-04-01T19:50:52+0000"
"Toyota says it will stop donating to Republicans who contested the election results.","2021-07-08T15:36:09+0000"
"Toyota pulls its Olympics TV ads in Japan.","2021-07-19T14:44:43+0000"
"Toyota Led on Clean Cars. Now Critics Say It Works to Delay Them.","2021-07-25T23:29:33+0000"
"Toyota, a pioneer of hybrids, resists the push toward electric cars.","2021-07-27T11:27:36+0000"
"Toyota, hurt by the chip shortage, will reduce output 40 percent in September.","2021-08-19T14:50:32+0000"
"Toyota to cut production 40% in October because of the chip shortage.","2021-09-10T17:10:07+0000"
"Toyota will cut production in November 15 percent amid pandemic chip shortages.","2021-10-15T11:23:33+0000"
