"Year","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013 - 2007"
"Net Income","14,997","12,556","5,519","721","-862","-976","-1,962","-674.91","-888.66","-294.04","Upgrade"
"Depreciation & Amortization","4,667","3,747","2,911","2,322","2,154","1,901","1,636","947.1","422.59","231.93","Upgrade"
"Share-Based Compensation","1,812","1,560","2,121","1,734","898","749","467","334.23","198","156.5","Upgrade"
"Other Operating Activities","-8,220","-3,139","946","1,166","215","424","-202","-730.24","-256.43","-151.72","Upgrade"
"Operating Cash Flow","13,256","14,724","11,497","5,943","2,405","2,098","-61","-123.83","-524.5","-57.34","Upgrade"
"Operating Cash Flow Growth","-9.97%","28.07%","93.45%","147.11%","14.63%","-","-","-","-","-","Upgrade"
"Capital Expenditures","-8,899","-7,163","-6,514","-3,232","-1,432","-2,319","-4,081","-1,440.47","-1,634.85","-969.89","Upgrade"
"Acquisitions","-64","0","0","-13","-45","-18","-115","342.72","-12.26","0","Upgrade"
"Change in Investments","-6,621","-4,877","-1,360","0","0","0","0","16.67","0","-16.71","Upgrade"
"Other Investing Activities","-","67","6","113","41","-","-","-","-26.44","-3.85","Upgrade"
"Investing Cash Flow","-15,584","-11,973","-7,868","-3,132","-1,436","-2,337","-4,196","-1,081.09","-1,673.55","-990.44","Upgrade"
"Share Issuance / Repurchase","700","541","707","12,686","1,285","296","712","1,866","856.61","489.62","Upgrade"
"Debt Issued / Paid","2,087","-3,866","-5,741","-2,494","761","74","3,672","1,718","683.94","2,292","Upgrade"
"Other Financing Activities","-198","-202","-169","-219","-517","204","31","160.24","-17.03","-638.58","Upgrade"
"Financing Cash Flow","2,589","-3,527","-5,203","9,973","1,529","574","4,415","3,744","1,524","2,143","Upgrade"
"Exchange Rate Effect","4","-444","-183","334","8","-23","40","-6.55","-34.28","-35.53","Upgrade"
"Net Cash Flow","265","-1,220","-1,757","13,118","2,506","312","198","2,533","-708.81","1,060","Upgrade"
"Free Cash Flow","4,357","7,561","4,983","2,711","973","-221","-4,142","-1,564.3","-2,159.35","-1,027.22","Upgrade"
"Free Cash Flow Growth","-42.38%","51.74%","83.81%","178.62%","-","-","-","-","-","-","Upgrade"
"Free Cash Flow Margin","4.50%","9.28%","9.26%","8.60%","3.96%","-1.03%","-35.22%","-22.35%","-53.37%","-32.12%","Upgrade"
"Free Cash Flow Per Share","1.37","2.42","1.68","0.97","0.37","-0.09","-1.66","-0.72","-1.12","-0.55","Upgrade"
