"Main_Headline","Date"
"Dee Dee Myers to Join Warner Bros. as Head of Communications","2014-04-16T17:31:26+0000"
"Years After a Bitter Fight, Prince and Warner Bros. Make a New Deal","2014-04-18T19:40:21+0000"
"Author of the Book ‘Gravity’ Sues Warner Bros. Over Credit","2014-04-30T01:33:48+0000"
"Chinese Conglomerate to Finance Former Warner Bros. Executive in Studio Deal","2014-06-23T02:00:19+0000"
"Warner Bros., After Shake-Up and Shaky Summer, Digs In","2014-09-22T00:26:16+0000"
"Warner Bros. Begins Layoffs to Cut Costs ","2014-11-04T18:48:33+0000"
"Judge Rules for Warner Bros. in Dispute Over ‘Gravity’","2015-01-31T02:16:31+0000"
"Warner Bros. and Lego Enter Market Where Toys and Gaming Meet","2015-04-09T13:00:08+0000"
"Dan Fellman, Executive at Warner Bros., to Leave Studio","2015-07-30T01:39:16+0000"
"Warner Bros. Announces Deal to Make Chinese-Language Films","2015-09-20T18:44:42+0000"
"Warner Bros. Announces Incubator for ‘Underrepresented Talent’","2016-03-10T19:56:02+0000"
"Warner Bros., Quietly Thriving, Recasts Its Own Story","2016-11-07T12:39:56+0000"
"‘Fantastic Beasts’ Is a Hit for Warner Bros.","2016-11-20T21:06:02+0000"
"Warner Bros. Promotes One Executive as Another Departs","2016-12-14T21:42:18+0000"
"Tolkien Estate and Warner Bros. Settle Lawsuit Over Licensing","2017-07-03T18:11:26+0000"
"For Warner Bros., a ‘Cinematic Universe’ Built of Lego Bricks","2017-07-23T21:02:32+0000"
"David Thomson’s ‘Warner Bros,’ a History of the Studio and the Family","2017-08-31T09:00:26+0000"
"Warner Bros. Shakes Up Senior Film Ranks, Ending a Power Struggle","2018-01-09T23:02:11+0000"
"Prolific TV Producer Greg Berlanti Extends Deal With Warner Bros.","2018-06-07T18:15:59+0000"
"Hello, Kitty! Warner Bros. Welcomes a Beloved Character","2019-03-05T20:00:04+0000"
"Warner Bros. Chief Quits Amid Inquiry Into Whether He Helped Actress Get Roles","2019-03-18T17:56:33+0000"
"‘Shazam!’ Solidifies a Superhero Turnaround at Warner Bros.","2019-04-07T17:19:56+0000"
"Ann Sarnoff, a Hollywood Outsider, Will Lead Warner Bros. Studio","2019-06-24T20:14:00+0000"
"Why the ‘Joker’ Movie Was a Risk Warner Bros. Wanted to Take","2019-10-03T19:03:30+0000"
"Atlanta Newspaper and Warner Bros. Battle Over ‘Richard Jewell’","2019-12-10T02:43:35+0000"
"After big jobs at ABC and Netflix, the executive Channing Dungey takes charge of Warner Bros.","2020-10-19T16:01:34+0000"
"Warner Bros. Says All 2021 Films Will Be Streamed Right Away","2020-12-03T22:48:18+0000"
"Vaccines, Facebook, Warner Bros.: Your Thursday Evening Briefing","2020-12-03T23:17:52+0000"
"Who’s Behind the Fight Between Warner Bros. and Hollywood? It’s AT&T","2020-12-08T20:51:59+0000"
"Producer of ‘The Matrix Resurrections’ sues Warner Bros. over how the film was released.","2022-02-07T21:22:09+0000"
"Disney and Warner Bros. will pause theatrical movie releases in Russia.","2022-03-01T01:47:26+0000"
"With Discovery merger pending, Warner Bros. chief Ann Sarnoff is set to leave.","2022-04-05T21:13:44+0000"
"Discovery announces new leaders for soon-to-be Warner Bros. Discovery.","2022-04-07T16:12:10+0000"
"New Era Begins at Warner Bros., Tinged With Nostalgia","2022-04-10T22:01:08+0000"
"Two former MGM executives take leading roles at Warner Bros.","2022-06-01T20:06:08+0000"
"Warner Bros. Discovery Picks Sports Chief to Navigate Streaming Era","2022-06-09T14:30:07+0000"
"Warner Bros. Discovery reveals plans for free streaming service","2022-08-04T20:48:27+0000"
"Warner Bros. Discovery Faces More Rounds of Layoffs","2022-09-13T19:10:41+0000"
"Australia vs. Warner Bros.?","2023-05-05T07:22:54+0000"
"GQ Removes Article Critical of Warner Bros. Discovery C.E.O.","2023-07-05T17:01:48+0000"
"Warner Bros. Discovery to Add CNN Channel to Max Streaming Service","2023-08-24T15:18:51+0000"
"Warner Bros. Suspends Deals With Top Show Creators","2023-09-07T14:58:08+0000"
"David Zaslav Defends Unpopular Decisions at Warner Bros. Discovery","2023-11-29T21:57:04+0000"
"Warner Bros. Discovery in Talks to Merge With Paramount","2023-12-20T22:15:26+0000"
"Why a Warner Bros.-Paramount Merger Does (and Doesn’t) Makes Sense","2023-12-21T12:49:19+0000"
