"year","month","line_id","word","value"
"2014","04",1,"join",1
"2014","04",2,"bitter",-2
"2014","04",2,"fight",-1
"2014","09",5,"shaky",-2
"2014","11",6,"cut",-1
"2015","01",7,"dispute",-2
"2015","07",9,"leave",-1
"2016","11",13,"fantastic",4
"2016","12",14,"promotes",1
"2017","07",15,"lawsuit",-2
"2018","01",18,"struggle",-2
"2018","06",19,"extends",1
"2019","03",20,"welcomes",2
"2019","03",20,"beloved",3
"2019","10",24,"risk",-2
"2019","12",25,"battle",-1
"2020","12",29,"fight",-1
"2022","04",32,"leave",-1
"2022","08",37,"free",1
"2023","09",42,"top",2
